,Ride Duration
Astro Orbiter,1 minute 30 seconds
Barnstormer,1 minute 3 seconds
Big Thunder Mountain Railroad,3 minutes 25 seconds
Buzz Lightyear's Space Ranger Spin,4 minutes 3 seconds
Carousel of Progress,20 minutes 45 seconds
Country Bear Jamboree,12 minutes
Dumbo the Flying Elephant,1 minute 30 seconds
Enchanted Tiki Room,10 minutes
The Hall of Presidents,21 minutes 35 seconds
Haunted Mansion,7 minutes 30 seconds
it's a small world,10 minutes 30 seconds
Jungle Cruise,9 minutes 5 seconds
Liberty Square Riverboat,12 minutes 45 seconds
Mad Tea Party,1 minute 30 seconds
Magic Carpets of Aladdin,1 minute 30 seconds
Many Adventures of Winnie the Pooh,3 minutes 8 seconds
Mickey's PhilharMagic,12 minutes
Monster's Inc. Laugh Floor,11 minutes
Peter Pan's Flight,2 minutes 45 seconds
Pirates of the Caribbean,8 minutes 30 seconds
Prince Charming's Royal Carrousel,2 minutes
Seven Dwarfs Mine Train,2 minutes 30 seconds
Space Mountain,2 minutes 30 seconds
Splash Mountain,11 minutes
Swiss Family Treehouse,13 minutes 5 seconds
Tomorrowland Indy Speedway,4 minutes 45 seconds
Tomorrowland Transit Authority Peoplemover,10 minutes 4 seconds
Under the Sea ~ Journey of the Little Mermaid,6 minutes 15 seconds
Walt Disney World Railroad,20 minutes
